lang	lang_desc	denom	num	pct100str	pct100	denom_1	num_1	pct100str_1	pct100_1	denom_2	num_2	pct100str_2	pct100_2	denom_3	num_3	pct100str_3	pct100_3	denom_4	num_4	pct100str_4	pct100_4	denom_5	num_5	pct100str_5	pct100_5
tt	Tatar	2499	793	31.7	31.73269307723089	503	214	42.5	42.54473161033797	503	163	32.4	32.40556660039761	500	160	32.0	32.0	500	144	28.8	28.8	493	112	22.7	22.718052738336713
nrf	Norman	2499	773	30.9	30.932372949179673	503	196	39.0	38.9662027833002	503	153	30.4	30.417495029821072	500	160	32.0	32.0	500	154	30.8	30.8	493	110	22.3	22.31237322515213
mr	Marathi	2499	772	30.9	30.89235694277711	503	216	42.9	42.94234592445328	503	161	32.0	32.007952286282304	500	154	30.8	30.8	500	136	27.2	27.2	493	105	21.3	21.29817444219067
ia	Interlingua	2499	745	29.8	29.811924769907964	503	275	54.7	54.67196819085487	503	146	29.0	29.025844930417495	500	132	26.4	26.4	500	104	20.8	20.8	493	88	17.8	17.849898580121703
vo	Volapük	2499	727	29.1	29.091636654661865	503	207	41.2	41.15308151093439	503	146	29.0	29.025844930417495	500	139	27.8	27.8	500	120	24.0	24.0	493	115	23.3	23.32657200811359
pdt	Plautdietsch	2499	713	28.5	28.53141256502601	503	154	30.6	30.616302186878727	503	151	30.0	30.019880715705764	500	145	29.0	29.0	500	139	27.8	27.8	493	124	25.2	25.15212981744422
dsb	Lower Sorbian	2499	682	27.3	27.290916366546618	503	246	48.9	48.9065606361829	503	135	26.8	26.8389662027833	500	115	23.0	23.0	500	110	22.0	22.0	493	76	15.4	15.415821501014198
as	Assamese	2499	677	27.1	27.090836334533815	503	207	41.2	41.15308151093439	503	130	25.8	25.84493041749503	500	133	26.6	26.6	500	122	24.4	24.4	493	85	17.2	17.24137931034483
fur	Friulian	2499	663	26.5	26.53061224489796	503	228	45.3	45.32803180914513	503	133	26.4	26.44135188866799	500	124	24.8	24.8	500	110	22.0	22.0	493	68	13.8	13.793103448275861
scn	Sicilian	2499	659	26.4	26.370548219287716	503	202	40.2	40.15904572564612	503	134	26.6	26.640159045725646	500	136	27.2	27.2	500	108	21.6	21.6	493	79	16.0	16.024340770791074
lb	Luxembourgish	2499	656	26.3	26.250500200080033	503	181	36.0	35.984095427435385	503	137	27.2	27.23658051689861	500	133	26.6	26.6	500	112	22.4	22.4	493	93	18.9	18.864097363083165
