lang_name1	lang_name2	lang_name3	n_page_w_tr	n_tte_w_tr	n_tte_wo_tr	n_tte_icho_w_tr
Azerbaijani	North Azerbaijani		2	2	0	
Azerbaijani	South Azerbaijani		40	41	0	
Azerbijani			4	4	0	4
Azha			1	1	0	1
Baagandji			4	4	0	4
Baan			1	1	0	1
Baatonum			6	6	0	6
Baba Malay			17	17	0	17
Babatana			2	2	0	2
Babine-Witsuwit'en			3	3	0	3
Babole			2	2	0	2
Babungo			2	2	0	2
Babuza			2	2	0	2
Bacama			1	1	0	1
Bactrian			65	66	0	66
Badaga			5	5	0	5
Bade			4	4	0	4
Badeshi			3	3	0	3
Baduy			1	1	0	1
Baekje			11	11	1	11
Bafanji			4	4	0	4
Bafia			1	1	0	1
Bafut			1	1	0	1
Bagirmi			2	2	0	2
Bagri			1	1	0	1
Bagua			1	1	0	1
Bagusa			1	1	0	1
Bagvalal			10	11	0	11
Baha			1	1	0	1
Bahamian Creole			6	6	0	6
Bahing			2	2	0	2
Bahnar			43	43	0	43
Bahonsuai			1	1	0	1
Bai			1	1	7	5
Bai	Central Bai		2	2	0	
Bai	Lama Bai		2	2	0	
Bai	Panyi Bai		2	2	0	
Bai	Southern Bai		4	4	3	
Baima			1	1	0	1
Baiso			3	3	0	3
Bajan			2	2	0	2
Bajau			0	0	215	187
Bajau	Indonesian Bajau		2	2	0	
Bajau	West Coast Bajau		182	186	29	
Baka			2	2	0	2
Bakairí			3	3	0	3
Bakhtiari			77	78	0	78
Bakoko			1	1	0	1
Bakulung			1	1	0	1
Bakumpai			4	4	0	4
Bakung			10	10	0	10
Bala			5	5	0	5
Balaesang			1	1	0	1
Balangao			2	2	0	2
Balanta-Ganja			2	2	0	2
Balanta-Kentohe			1	1	0	1
Balantak			5	5	0	5
Baldemu			2	2	0	2
Balinese			245	254	6	254
Balo			1	1	0	1
Balochi			3	3	0	3
Balti			11	11	0	11
Baluan-Pam			1	1	0	1
Baluchi			265	278	6	278
Bambam			1	1	0	1
Bambara			143	155	7	155
Bambassi			1	1	0	1
Bamu			2	2	0	2
Bamukumbit			1	1	0	1
Bamum			1	1	0	1
Bamunka			1	1	0	1
Bana			2	2	0	2
Banda			2	2	0	2
Banda-Bambari			1	1	0	1
Bandi			1	1	0	1
Bandjalang			10	10	0	10
Bangala			7	7	0	7
Bangandu			1	1	0	1
Banggai			5	5	0	5
Bangi			294	300	0	300
Bangime			1	1	0	1
Bangka			1	1	0	1
Bangla			1	1	0	1
Bangubangu			0	0	1	0
Baniwa			6	6	0	6
Banjarese			109	110	3	110
Banka			1	1	0	1
Bankon			2	2	0	2
Banoni			2	2	0	2
Bantawa			3	3	0	3
Bantik			3	3	0	3
Banyumasan			23	24	0	24
Baoule			7	7	2	7
Barai			1	1	0	1
Baram Kayan			4	4	0	4
Barapasi			1	1	0	1
Barasana			3	3	0	3
Barbareño			2	2	0	2
Bardi			5	5	0	5
Barein			3	3	0	3
